ID,Photo,Title,Brand,Price,URL,Currency,Item_Date,Category,Colors,Materials,Styles,Categories
5313479132,https://images1.vinted.net/t/04_025e5_jpcrJWc5G7YgaRkDNETAjuUK/f800/1730486402.jpeg?s=8c2df0603697d61e3ee3f65d0570426b74d1624f,Jungen Body,C&A,2.0,https://www.vinted.de/items/5313479132-jungen-body,EUR,2024-02-11,,Red White,Cotton,Casual Festive,Baby Bodysuits
5313479037,https://images1.vinted.net/t/04_00cf8_Pg3Lk39qTAh3AUTreqW6DXbb/f800/1730486401.jpeg?s=94d2fcf07bf89022d3446584ba601d798e0a8cd9,Paw Patrol Figuren,Paw Patrol,4.0,https://www.vinted.de/items/5313479037-paw-patrol-figuren,EUR,2024-02-11,,,,,
5313479117,https://images1.vinted.net/t/04_01266_kKCNNbEKMDd8jCyr3yuZGUr8/f800/1730486402.jpeg?s=27472b8d737ffa6707ba8e8e370adacc8bc8059b,Festliches Kleid von H&M Größe 134 Weihnachten,H&M,8.0,https://www.vinted.de/items/5313479117-festliches-kleid-von-hm-grosse-134-weihnachten,EUR,2024-02-11,,Rose Gold Pink,Tulle Satin,Formal Party Festliches,Dresses
5313478806,https://images1.vinted.net/t/04_01bd6_XYFferbL8LfgCrTxGGx9uHJu/f800/1730486398.jpeg?s=c01798b158c1c4d8df0e36e37cb68d6b18db4862,Leichter Pullover Alana Blumen Schmetterlinge,Alana,2.0,https://www.vinted.de/items/5313478806-leichter-pullover-alana-blumen-schmetterlinge,EUR,2024-02-11,,,,,
5313479127,https://images1.vinted.net/t/02_0248c_c2SRSjQs9VgnxZX66LV6Cgpo/f800/1730486402.jpeg?s=13a81ad20f6ba18cf5ab64cfcffe8dd3fe469fc7,Topsjmjjj,H&M,5.0,https://www.vinted.de/items/5313479127-topsjmjjj,EUR,2024-02-11,,Black White,Cotton,Casual,Tops
5313478945,https://images1.vinted.net/t/01_02608_Qp2nzvULqv3zn33GBWcMbVhd/f800/1730486399.jpeg?s=9fb7de68b5825667461cc4d455e13ab33005832a,Shirtbluse,Superdry,8.0,https://www.vinted.de/items/5313478945-shirtbluse,EUR,2024-02-11,,,,,
5313479150,https://images1.vinted.net/t/02_015b5_J5MDuyBYSzWQxThChREojDp8/f800/1730486402.jpeg?s=11ccf9182ac2e8b2fe33ada88459a79dbf850468,Zara Jeans Hose,Zara,10.0,https://www.vinted.de/items/5313479150-zara-jeans-hose,EUR,2024-02-11,,Blue,Denim,Casual,Bottoms
5313478992,https://images1.vinted.net/t/04_006c8_CAFf2R1Hq1iZJpxA7pKL8qDQ/f800/1730486400.jpeg?s=8eae8fec259c286f1e4808119fa164d228c5b6d4,"Timberland Boots braun 47,5",Timberland,70.0,https://www.vinted.de/items/5313478992-timberland-boots-braun-475,EUR,2024-02-11,,,,,
5313478812,https://images1.vinted.net/t/01_0199d_aRL4ymvaDKyTctnaHz989Z69/f800/1730486398.jpeg?s=486cab079822b87a0c43befbace2540031cc7c2d,Faserpelzjacke Vintage Gr L,Engelbert Strauss,28.0,https://www.vinted.de/items/5313478812-faserpelzjacke-vintage-gr-l,EUR,2024-02-11,,,,,
5313479076,https://images1.vinted.net/t/04_01123_bQRWRcDTEc9VyZ7nKh9Ta1nF/f800/1730486401.jpeg?s=00b9db20a277a6cbf5a493840855a15e6347aff5,Dirkje Kurzarmbody 62/68,Dirkje,2.0,https://www.vinted.de/items/5313479076-dirkje-kurzarmbody-6268,EUR,2024-02-11,,,,,
5313478988,https://images1.vinted.net/t/03_01c37_qsHG9idqZBaRm1seNapG8Jfh/f800/1730486400.jpeg?s=89f2c5f627d4636a8caae2b9a82c460300d4b5a7,T-Shirt | bauchfreies Shirt | SHEIN | Gr. L/XL,Shein,4.0,https://www.vinted.de/items/5313478988-t-shirt-bauchfreies-shirt-shein-gr-lxl,EUR,2024-02-11,,,,,
5313478913,https://images1.vinted.net/t/02_016c7_RorKhdbfCFSKjowTqSxNzWm6/f800/1730486399.jpeg?s=a7f0e1183f85bb41fde7fdb196b915bce3d5701c,Langarm Bodie,Topomini,2.0,https://www.vinted.de/items/5313478913-langarm-bodie,EUR,2024-02-11,,,,,
5313478955,https://images1.vinted.net/t/03_022b1_gTS1u6DBf2mTyVSS1kvMDiuE/f800/1730486400.jpeg?s=9a2ae93e5998018670412e37ac795913f02601c9,Nicki Strampler mit Kapuze,Topomini,3.0,https://www.vinted.de/items/5313478955-nicki-strampler-mit-kapuze,EUR,2024-02-11,,,,,
5313478940,https://images1.vinted.net/t/01_024f1_jkjzs4v9gzU2Zo78vpkUaEKv/f800/1730486399.jpeg?s=9ebec6348575937da2b2d29415c51d9d6b735cbd,Skijacke Gr. S von O'Neill,O'Neill,50.0,https://www.vinted.de/items/5313478940-skijacke-gr-s-von-oneill,EUR,2024-02-11,,,,,
